;smallTriangle-smallTriangle1;smallTriangle-middleTriangle1;smallTriangle-middleTriangle2;smallTriangle-bigTriangle1;smallTriangle-bigTriangle2;smallTriangle-bigTriangle3;smallTriangle-bigTriangle4;smallTriangle-squart1;smallTriangle-squart2;smallTriangle-parallelo1;smallTriangle-parallelo2;middleTriangle-bigTriangle1;middleTriangle-bigTriangle2;middleTriangle-squart1;middleTriangle-parallelo1;bigTriangle-bigTriangle1;bigTriangle-squart1;bigTriangle-squart2;bigTriangle-parallelo1;bigTriangle-parallelo2;squart-parallelo1;classe
0;0.57;0.52;0.67;0.33;0.75;0.86;1.09;0.34;0.34;0.85;0.93;0.73;0.78;0.36;0.43;0.51;0.55;0.75;0.45;0.78;0.66;bateau
1;0.57;0.33;0.65;0.55;0.56;0.56;0.98;0.46;0.58;0.28;0.29;0.86;0.86;0.39;0.43;1.11;0.47;0.92;0.48;0.75;0.45;bol
2;0.38;0.73;1.01;1.07;1.38;1.57;1.82;0.34;0.34;0.42;0.68;0.37;0.84;0.71;0.33;0.56;1.08;1.49;0.7;1.16;0.39;chat
3;0.81;0.29;0.95;0.47;0.48;0.58;0.59;0.34;0.98;0.28;0.75;0.43;0.76;0.59;0.96;0.68;0.46;0.79;0.37;0.7;0.82;coeur
4;1.76;0.75;1.23;0.42;0.79;1.01;1.39;0.34;1.59;0.39;1.41;0.46;0.81;0.83;0.4;0.39;0.92;1.27;0.63;1.02;0.44;cygne
5;0.88;1.12;1.59;0.35;0.36;0.58;0.69;0.51;1.23;1.0;1.24;0.98;1.5;0.66;0.42;0.52;0.54;1.02;0.74;1.23;0.7;lapin
6;0.27;0.66;0.85;0.3;0.41;0.49;0.52;0.8;1.06;0.64;0.9;0.42;0.78;0.87;0.42;0.66;0.56;1.02;0.58;0.67;0.46;maison
7;0.55;0.73;0.96;0.42;0.56;0.95;1.01;0.34;0.86;0.27;0.28;0.42;0.95;1.29;0.82;0.59;1.23;1.35;0.68;0.78;0.59;marteau
8;0.58;0.25;0.58;0.55;0.6;1.06;1.14;0.35;0.35;0.34;0.55;0.57;0.96;0.5;0.4;1.52;0.89;0.95;0.56;0.96;0.53;montagne
9;0.92;0.3;0.68;0.57;0.58;1.37;1.39;0.65;0.7;0.28;0.66;0.72;1.08;0.38;0.4;1.71;0.84;0.88;0.74;1.11;0.48;pont
10;1.82;0.4;1.46;0.33;0.91;0.97;1.55;0.86;2.66;0.52;2.33;0.68;1.22;1.25;0.88;0.6;1.77;2.37;1.48;2.07;0.46;renard
11;1.13;0.43;1.2;0.51;0.7;0.76;0.88;0.7;1.65;0.4;1.22;0.43;0.69;1.54;1.14;0.38;0.86;1.17;0.48;0.74;0.43;tortue
