m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
346542.0,89754378.0,115918299.0,30995178536.0,30022839441.0,51699561354.0,12041626861236.0,10367887220292.0,13390186390686.0,25940254909369.5,7748794634.0,0.0,12924890338.5,0.0,0.0,0.0,0.0,0.0645241654210264,0.0,0.10762548262548262,0.0,0.0,0.0,0.0
1154021.5,547987298.5,701677593.0,346700899945.25,333433236634.125,568860747195.4166,246762347742200.38,210961241510370.4,270511880544519.88,518839059101227.25,86489041399.00269,241516543.94256592,142220996966.95587,-7302425239.875,-72044231215.10938,94563733044.17969,6945924887.625,0.064943140099304,0.0001813506369807289,0.10679131114978699,-5.104255077109446e-06,-5.0357534774633795e-05,6.609823430516062e-05,4.855068173691792e-06
492456.0,139857504.0,213479676.0,52959374848.0,60628227984.0,123391252728.0,22560693685248.0,22957888996608.0,35043115774752.0,80235162086382.0,13239843712.0,7.62939453125e-06,30847813182.000015,0.0,-0.0029296875,-0.00390625,0.0,0.05459438677431756,3.145974567021579e-17,0.12720070422535215,0.0,-1.7214829080287996e-17,-2.2953105440383995e-17,0.0
247434.0,62600802.0,60497613.0,21117337208.0,15305896089.0,19722221838.0,8014029470436.0,5163188947356.0,4989722125014.0,7233124859086.5,5279334302.0,0.0,4930555459.5,0.0,0.0,0.0,0.0,0.08623040218132243,0.0,0.08053359683794467,0.0,0.0,0.0,0.0
365982.0,123335934.0,99364113.0,55418946344.0,33485706081.0,35969808906.0,28014277376892.0,15046243932396.0,12121825601322.0,14648704676968.5,13854736586.0,0.0,8992452226.5,0.0,0.0,0.0,0.0,0.10343769183548188,0.0,0.06713649851632046,0.0,0.0,0.0,0.0
321417.0,80836375.5,102692731.5,27107131251.0,25827221972.25,43747103619.0,10226165264439.75,8660728434694.5,11002396560178.5,20965799409405.75,6776782812.75,0.0,10936775904.75,0.0,0.0,0.0,0.0,0.06559728742827335,0.0,0.1058648111332008,0.0,0.0,0.0,0.0
318426.0,69735294.0,115747851.0,20362705848.0,25348779369.0,56099125118.0,6689148871068.0,7401843575748.0,12285708400842.0,30588047970589.5,5090676462.0,0.0,14024781279.5,0.0,0.0,0.0,0.0,0.05020632737276478,0.0,0.1383181126331811,0.0,0.0,0.0,0.0
237510.0,74815650.0,44770635.0,31422573000.0,14102750025.0,11252352930.0,14847165742500.0,5923155010500.0,3544491172950.0,3181602790957.5,7855643250.0,0.0,2813088232.5,0.0,0.0,0.0,0.0,0.13925729442970822,0.0,0.049867724867724866,0.0,0.0,0.0,0.0
280368.0,74437704.0,74017152.0,26350947216.0,19651553856.0,26054037504.0,10494264728772.0,6956650065024.0,6917346957312.0,10317398851584.0,6587736804.0,0.0,6513509376.0,0.0,0.0,0.0,0.0,0.08380681818181818,0.0,0.08286252354048965,0.0,0.0,0.0,0.0
560985.0,211210852.5,208966912.5,106027847955.0,78676042556.25,103786899875.0,59879227132586.25,39495373363237.5,39075767802937.5,57990930305156.25,26506961988.75,0.0,25946724968.75,0.0,0.0,0.0,0.0,0.0842281879194631,0.0,0.08244798583444003,0.0,0.0,0.0,0.0
374412.0,92105352.0,142463766.0,30210555456.0,35046086436.0,72276617284.0,11147694963264.0,11495116351008.0,17780047851864.0,41251879314843.0,7552638864.0,0.0,18069154321.0,0.0,0.0,0.0,0.0,0.05387647831800263,0.0,0.12889566395663957,0.0,0.0,0.0,0.0
334928.0,81052576.0,115885088.0,26152964522.666664,28044191296.0,53461653930.666664,9493526121728.0,9048925724842.666,12937720251221.334,27746598390016.0,6538241130.666664,0.0,13365413482.666664,0.001953125,0.0,0.00146484375,0.0,0.05828516377649323,0.0,0.11914600550964184,3.0085095801179265e-17,0.0,2.2563821850884447e-17,0.0
